Source,Target,Value,Units,Table ID
Heavy Fuel Oil,Other Chemical Manufacturing,0.0,Petajoules,id_ca_e_42
Still Gas and Petroleum Coke,Other Chemical Manufacturing,0.9,Petajoules,id_ca_e_42
LPG and Gas Plant NGL,Other Chemical Manufacturing,0.1,Petajoules,id_ca_e_42
Coal,Other Chemical Manufacturing,0.0,Petajoules,id_ca_e_42
Coke and Coke Oven Gas,Other Chemical Manufacturing,0.0,Petajoules,id_ca_e_42
Wood Waste and Pulping Liquor,Other Chemical Manufacturing,0.0,Petajoules,id_ca_e_42
Other1,Other Chemical Manufacturing,2.3,Petajoules,id_ca_e_42
Electricity,Resin and Synthetic Rubber Industries,,Petajoules,id_ca_e_43
Natural Gas,Resin and Synthetic Rubber Industries,,Petajoules,id_ca_e_43
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Resin and Synthetic Rubber Industries,0.1,Petajoules,id_ca_e_43
Heavy Fuel Oil,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
Still Gas and Petroleum Coke,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
LPG and Gas Plant NGL,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
Coal,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
Coke and Coke Oven Gas,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
Wood Waste and Pulping Liquor,Resin and Synthetic Rubber Industries,0.0,Petajoules,id_ca_e_43
Other1,Resin and Synthetic Rubber Industries,8.2,Petajoules,id_ca_e_43
Electricity,Motor Vehicle Plastic Parts Manufacturing,2.4,Petajoules,id_ca_e_44
Natural Gas,Motor Vehicle Plastic Parts Manufacturing,2.1,Petajoules,id_ca_e_44
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Heavy Fuel Oil,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Still Gas and Petroleum Coke,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
LPG and Gas Plant NGL,Motor Vehicle Plastic Parts Manufacturing,0.1,Petajoules,id_ca_e_44
Coal,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Coke and Coke Oven Gas,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Wood Waste and Pulping Liquor,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Other1,Motor Vehicle Plastic Parts Manufacturing,0.0,Petajoules,id_ca_e_44
Electricity,Rubber Products Industries,3.1,Petajoules,id_ca_e_45
Natural Gas,Rubber Products Industries,3.5,Petajoules,id_ca_e_45
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Rubber Products Industries,0.0,Petajoules,id_ca_e_45
Heavy Fuel Oil,Rubber Products Industries,,Petajoules,id_ca_e_45
Still Gas and Petroleum Coke,Rubber Products Industries,0.0,Petajoules,id_ca_e_45
LPG and Gas Plant NGL,Rubber Products Industries,,Petajoules,id_ca_e_45
Coal,Rubber Products Industries,0.0,Petajoules,id_ca_e_45
Coke and Coke Oven Gas,Rubber Products Industries,0.0,Petajoules,id_ca_e_45
Wood Waste and Pulping Liquor,Rubber Products Industries,0.0,Petajoules,id_ca_e_45
Other1,Rubber Products Industries,0.0,Petajoules,id_ca_e_45
Electricity,Cement Industry,8.0,Petajoules,id_ca_e_46
Natural Gas,Cement Industry,,Petajoules,id_ca_e_46
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Cement Industry,0.3,Petajoules,id_ca_e_46
Heavy Fuel Oil,Cement Industry,,Petajoules,id_ca_e_46
Still Gas and Petroleum Coke,Cement Industry,,Petajoules,id_ca_e_46
LPG and Gas Plant NGL,Cement Industry,,Petajoules,id_ca_e_46
Coal,Cement Industry,15.1,Petajoules,id_ca_e_46
Coke and Coke Oven Gas,Cement Industry,,Petajoules,id_ca_e_46
Wood Waste and Pulping Liquor,Cement Industry,0.0,Petajoules,id_ca_e_46
Other1,Cement Industry,4.0,Petajoules,id_ca_e_46
Electricity,Iron and Steel,31.9,Petajoules,id_ca_e_47
Natural Gas,Iron and Steel,,Petajoules,id_ca_e_47
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Iron and Steel,,Petajoules,id_ca_e_47
Heavy Fuel Oil,Iron and Steel,,Petajoules,id_ca_e_47
Still Gas and Petroleum Coke,Iron and Steel,,Petajoules,id_ca_e_47
LPG and Gas Plant NGL,Iron and Steel,,Petajoules,id_ca_e_47
Coal,Iron and Steel,,Petajoules,id_ca_e_47
Coke and Coke Oven Gas,Iron and Steel,99.6,Petajoules,id_ca_e_47
Wood Waste and Pulping Liquor,Iron and Steel,0.0,Petajoules,id_ca_e_47
Other1,Iron and Steel,0.0,Petajoules,id_ca_e_47
Electricity,Primary Production of Alumina and Aluminum,,Petajoules,id_ca_e_48
Natural Gas,Primary Production of Alumina and Aluminum,,Petajoules,id_ca_e_48
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Primary Production of Alumina and Aluminum,,Petajoules,id_ca_e_48
Heavy Fuel Oil,Primary Production of Alumina and Aluminum,,Petajoules,id_ca_e_48
Still Gas and Petroleum Coke,Primary Production of Alumina and Aluminum,0.0,Petajoules,id_ca_e_48
LPG and Gas Plant NGL,Primary Production of Alumina and Aluminum,,Petajoules,id_ca_e_48
Coal,Primary Production of Alumina and Aluminum,0.0,Petajoules,id_ca_e_48
Coke and Coke Oven Gas,Primary Production of Alumina and Aluminum,0.0,Petajoules,id_ca_e_48
Wood Waste and Pulping Liquor,Primary Production of Alumina and Aluminum,0.0,Petajoules,id_ca_e_48
Other1,Primary Production of Alumina and Aluminum,0.0,Petajoules,id_ca_e_48
Electricity,Other Non-Ferrous Smelting and Refining,27.4,Petajoules,id_ca_e_49
Natural Gas,Other Non-Ferrous Smelting and Refining,16.5,Petajoules,id_ca_e_49
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Non-Ferrous Smelting and Refining,1.5,Petajoules,id_ca_e_49
Heavy Fuel Oil,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
Still Gas and Petroleum Coke,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
LPG and Gas Plant NGL,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
Coal,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
Coke and Coke Oven Gas,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
Wood Waste and Pulping Liquor,Other Non-Ferrous Smelting and Refining,,Petajoules,id_ca_e_49
Other1,Other Non-Ferrous Smelting and Refining,0.0,Petajoules,id_ca_e_49
Electricity,Fabricated Metal Products Industries,11.1,Petajoules,id_ca_e_50
Natural Gas,Fabricated Metal Products Industries,,Petajoules,id_ca_e_50
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Fabricated Metal Products Industries,,Petajoules,id_ca_e_50
Heavy Fuel Oil,Fabricated Metal Products Industries,,Petajoules,id_ca_e_50
Still Gas and Petroleum Coke,Fabricated Metal Products Industries,0.0,Petajoules,id_ca_e_50
LPG and Gas Plant NGL,Fabricated Metal Products Industries,0.5,Petajoules,id_ca_e_50
Coal,Fabricated Metal Products Industries,0.0,Petajoules,id_ca_e_50
Coke and Coke Oven Gas,Fabricated Metal Products Industries,0.0,Petajoules,id_ca_e_50
Wood Waste and Pulping Liquor,Fabricated Metal Products Industries,,Petajoules,id_ca_e_50
Other1,Fabricated Metal Products Industries,0.0,Petajoules,id_ca_e_50
Electricity,Machinery Industries,6.8,Petajoules,id_ca_e_51
Natural Gas,Machinery Industries,,Petajoules,id_ca_e_51
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Machinery Industries,0.1,Petajoules,id_ca_e_51
Heavy Fuel Oil,Machinery Industries,0.0,Petajoules,id_ca_e_51
Still Gas and Petroleum Coke,Machinery Industries,0.0,Petajoules,id_ca_e_51
LPG and Gas Plant NGL,Machinery Industries,0.2,Petajoules,id_ca_e_51
Coal,Machinery Industries,0.0,Petajoules,id_ca_e_51
Coke and Coke Oven Gas,Machinery Industries,0.0,Petajoules,id_ca_e_51
Wood Waste and Pulping Liquor,Machinery Industries,0.0,Petajoules,id_ca_e_51
Other1,Machinery Industries,,Petajoules,id_ca_e_51
Electricity,Computer and Electronic Products Industries,3.4,Petajoules,id_ca_e_52
Natural Gas,Computer and Electronic Products Industries,,Petajoules,id_ca_e_52
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Computer and Electronic Products Industries,,Petajoules,id_ca_e_52
Heavy Fuel Oil,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
Still Gas and Petroleum Coke,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
LPG and Gas Plant NGL,Computer and Electronic Products Industries,,Petajoules,id_ca_e_52
Coal,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
Coke and Coke Oven Gas,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
Wood Waste and Pulping Liquor,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
Other1,Computer and Electronic Products Industries,0.0,Petajoules,id_ca_e_52
Electricity,Electrical Equipment and Components Industries,3.0,Petajoules,id_ca_e_53
Natural Gas,Electrical Equipment and Components Industries,,Petajoules,id_ca_e_53
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Electrical Equipment and Components Industries,,Petajoules,id_ca_e_53
Heavy Fuel Oil,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Still Gas and Petroleum Coke,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
LPG and Gas Plant NGL,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Coal,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Coke and Coke Oven Gas,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Wood Waste and Pulping Liquor,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Other1,Electrical Equipment and Components Industries,0.0,Petajoules,id_ca_e_53
Electricity,Motor Vehicle Industry,5.2,Petajoules,id_ca_e_54
Natural Gas,Motor Vehicle Industry,,Petajoules,id_ca_e_54
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Industry,,Petajoules,id_ca_e_54
Heavy Fuel Oil,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
Still Gas and Petroleum Coke,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
LPG and Gas Plant NGL,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
Coal,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
Coke and Coke Oven Gas,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
Wood Waste and Pulping Liquor,Motor Vehicle Industry,0.0,Petajoules,id_ca_e_54
Other1,Motor Vehicle Industry,,Petajoules,id_ca_e_54
Electricity,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,1.7,Petajoules,id_ca_e_55
Natural Gas,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.4,Petajoules,id_ca_e_55
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Heavy Fuel Oil,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Still Gas and Petroleum Coke,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
LPG and Gas Plant NGL,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Coal,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Coke and Coke Oven Gas,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Wood Waste and Pulping Liquor,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Other1,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.0,Petajoules,id_ca_e_55
Electricity,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,Petajoules,id_ca_e_56
Natural Gas,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,Petajoules,id_ca_e_56
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Heavy Fuel Oil,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Still Gas and Petroleum Coke,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
LPG and Gas Plant NGL,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,Petajoules,id_ca_e_56
Coal,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Coke and Coke Oven Gas,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Wood Waste and Pulping Liquor,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Other1,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.0,Petajoules,id_ca_e_56
Electricity,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.4,Petajoules,id_ca_e_57
Natural Gas,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,Petajoules,id_ca_e_57
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,Petajoules,id_ca_e_57
Heavy Fuel Oil,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Still Gas and Petroleum Coke,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
LPG and Gas Plant NGL,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Coal,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Coke and Coke Oven Gas,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Wood Waste and Pulping Liquor,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Other1,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.0,Petajoules,id_ca_e_57
Electricity,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.3,Petajoules,id_ca_e_58
Natural Gas,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.2,Petajoules,id_ca_e_58
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Heavy Fuel Oil,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Still Gas and Petroleum Coke,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
LPG and Gas Plant NGL,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Coal,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Coke and Coke Oven Gas,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Wood Waste and Pulping Liquor,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Other1,Motor Vehicle Brake System Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_58
Electricity,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,1.5,Petajoules,id_ca_e_59
Natural Gas,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_59
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_59
Heavy Fuel Oil,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Still Gas and Petroleum Coke,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
LPG and Gas Plant NGL,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Coal,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Coke and Coke Oven Gas,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Wood Waste and Pulping Liquor,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Other1,Motor Vehicle Transmission and Power Train Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_59
Electricity,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.6,Petajoules,id_ca_e_60
Natural Gas,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_60
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_60
Heavy Fuel Oil,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Still Gas and Petroleum Coke,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
LPG and Gas Plant NGL,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Coal,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Coke and Coke Oven Gas,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Wood Waste and Pulping Liquor,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Other1,Motor Vehicle Seating and Interior Trim Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_60
Electricity,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_61
Natural Gas,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_61
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_61
Heavy Fuel Oil,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_61
Still Gas and Petroleum Coke,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_61
LPG and Gas Plant NGL,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_61
Coal,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_61
Coke and Coke Oven Gas,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_61
Wood Waste and Pulping Liquor,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_61
Other1,Motor Vehicle Metal Stamping Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_61
Electricity,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,1.6,Petajoules,id_ca_e_62
Natural Gas,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,1.9,Petajoules,id_ca_e_62
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Heavy Fuel Oil,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Still Gas and Petroleum Coke,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
LPG and Gas Plant NGL,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Coal,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Coke and Coke Oven Gas,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Wood Waste and Pulping Liquor,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Other1,Other Motor Vehicle Parts Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_62
Electricity,Furniture and Related Products Industries,3.6,Petajoules,id_ca_e_63
Natural Gas,Furniture and Related Products Industries,,Petajoules,id_ca_e_63
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
Heavy Fuel Oil,Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
Still Gas and Petroleum Coke,Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
LPG and Gas Plant NGL,Furniture and Related Products Industries,0.1,Petajoules,id_ca_e_63
Coal,Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
Coke and Coke Oven Gas,Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
Wood Waste and Pulping Liquor,Furniture and Related Products Industries,,Petajoules,id_ca_e_63
Other1,Furniture and Related Products Industries,0.0,Petajoules,id_ca_e_63
Electricity,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,2.4,Petajoules,id_ca_e_64
Natural Gas,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,4.3,Petajoules,id_ca_e_64
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_64
Heavy Fuel Oil,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
Still Gas and Petroleum Coke,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
LPG and Gas Plant NGL,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,,Petajoules,id_ca_e_64
Coal,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
Coke and Coke Oven Gas,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
Wood Waste and Pulping Liquor,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
Other1,Miscellaneous Manufacturing Secondary Energy Use and GHG Emission,0.0,Petajoules,id_ca_e_64
Electricity,Other Manufacturing n.e.c.,36.7,Petajoules,id_ca_e_65
Natural Gas,Other Manufacturing n.e.c.,82.9,Petajoules,id_ca_e_65
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Manufacturing n.e.c.,3.6,Petajoules,id_ca_e_65
Heavy Fuel Oil,Other Manufacturing n.e.c.,1.3,Petajoules,id_ca_e_65
Still Gas and Petroleum Coke,Other Manufacturing n.e.c.,3.5,Petajoules,id_ca_e_65
LPG and Gas Plant NGL,Other Manufacturing n.e.c.,2.0,Petajoules,id_ca_e_65
Coal,Other Manufacturing n.e.c.,3.5,Petajoules,id_ca_e_65
Coke and Coke Oven Gas,Other Manufacturing n.e.c.,0.7,Petajoules,id_ca_e_65
Wood Waste and Pulping Liquor,Other Manufacturing n.e.c.,18.2,Petajoules,id_ca_e_65
Other1,Other Manufacturing n.e.c.,1.5,Petajoules,id_ca_e_65
Electricity,Construction,,Petajoules,id_ca_e_66
Natural Gas,Construction,18.7,Petajoules,id_ca_e_66
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Construction,88.5,Petajoules,id_ca_e_66
Heavy Fuel Oil,Construction,,Petajoules,id_ca_e_66
Still Gas and Petroleum Coke,Construction,0.0,Petajoules,id_ca_e_66
LPG and Gas Plant NGL,Construction,,Petajoules,id_ca_e_66
Coal,Construction,0.0,Petajoules,id_ca_e_66
Coke and Coke Oven Gas,Construction,0.0,Petajoules,id_ca_e_66
Wood Waste and Pulping Liquor,Construction,0.0,Petajoules,id_ca_e_66
Other1,Construction,0.0,Petajoules,id_ca_e_66
Electricity,Forestry,,Petajoules,id_ca_e_67
Natural Gas,Forestry,0.0,Petajoules,id_ca_e_67
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Forestry,23.4,Petajoules,id_ca_e_67
Heavy Fuel Oil,Forestry,,Petajoules,id_ca_e_67
Still Gas and Petroleum Coke,Forestry,0.0,Petajoules,id_ca_e_67
LPG and Gas Plant NGL,Forestry,0.0,Petajoules,id_ca_e_67
Coal,Forestry,0.0,Petajoules,id_ca_e_67
Coke and Coke Oven Gas,Forestry,0.0,Petajoules,id_ca_e_67
Wood Waste and Pulping Liquor,Forestry,0.0,Petajoules,id_ca_e_67
Other1,Forestry,0.0,Petajoules,id_ca_e_67
